rozmiar;czas dodawania na poczatek[ns];czas dodawania na koniec[ns];czas dodawania w losowe miejsce[ns];czas uswania z poczatku[ns];czas usuwania z konca[ns];czas usuwania z losowego miejsca[ns];czas znajdowania losowego elementu[ns]
2000;2379;2424;2516;1430;1379;54
4000;4337;4387;4484;2566;2509;51
6000;6803;6510;6539;3713;3623;53
8000;8523;8410;22001;17422;16677;50
10000;27783;28588;26226;21116;20307;55
12000;31556;29773;30046;23993;23976;42
14000;35424;35118;35208;16959;14695;54
16000;29995;29680;29792;16663;16724;54
18000;33275;33556;33424;18975;18532;49
20000;37052;36867;36926;20758;22092;48
22000;34091;34216;34122;18505;18676;47
24000;36862;36836;37323;20278;20188;44
26000;40234;39964;41447;21905;21763;54
28000;43136;43873;37326;22661;20373;52
30000;38958;38777;38501;21390;21260;55
32000;42129;41634;41815;23167;22641;52
34000;44038;44267;44200;24331;23085;51
36000;41820;41425;41600;23125;24841;52
38000;44290;43687;44491;24525;24375;51
40000;45571;45861;47840;25146;25009;52
